

//++************** Deployment Settings ***************
// Firmware version: 	v4.1.1 MpHOx revB
// Sampling period (s)	30
// Samples hour align:	Yes
// Vrsi sps,trials: 	20, 10
// Vrse sps,trials: 	20, 10
// Vtherm sps,trials	20, 5
// Ik sps, trials:   	20, 1
// Vk sps, trials:   	20, 5
// Ib sps, trials:   	20, 1
// Vb sps, trials:   	20, 5
// Vbias sps,trials: 	40, 1
// Pump on time (s):	0
// Low battery voltage:	6.5
// Output mode:        	Normal
// Deploy time:   	2022/06/22 00:12:10
// Time zone:       	GMT
// TCOffset:     	0.000000
// k0int:        	-0.400000
// k0ext:        	-1.300000
// k2int:        	-0.001455
// k2ext:        	-0.001081
// Def Sal (ppt):	35.000000
// Offset Ik:    	0.000000
// Offset Ib:    	0.000000
// S-H c0        	340.981986
// S-H c1        	-0.000091
// S-H c2        	-95.088067
// S-H c3        	0.965370
// Version Info: 	v4.1.1 MpHOx revB
// File name:     	YODA22_1.txt
// User initials: 	yt
// Board SN:      	A001030
// MCAP SN:       	D000042
// DuraFET SN:    	GDF
// Optode SN:     	CHECK ON NEXT DISASSEM
// CTD SN:        	NA
// Pump1 SN:      	05 10677
// Pump2 SN:      	na
// Package name:  	MpHOx001
// Fab Note:      	2021_R30 installed, single input bias
// Deploy note:   	YODA22 mpHOx
// A -- Sample Num               = 1
// B -- MM/DD/YYYY HH:MM:SS      = 1
// C -- Battery Volt             = 1
// D -- Bias Battery Pos         = 1
// E -- Bias Battery Neg         = 1
// F -- Board Temperature        = 1
// G -- Board Humidity           = 1
// H -- Vthermistor              = 0
//      Vtermistor Std           = 0
// I -- Temperature Calc         = 0
// J -- Vrsi (Int Ref pH volt)   = 0
//      Vrsi Std                 = 0
// K -- pH Vrsi Calc             = 0
// L -- Vrse (Ext Ref pH volt)   = 1
//      Vrse Std                 = 1
// M -- pH Vrse Calc             = 0
// N -- Vrsi Biased (7pH=0v)     = 0
// O -- Vrsi Biased Std          = 0
// P -- Vrse Biased (7pH=0v)     = 0
// Q -- Vrse Biased Std          = 0
// R -- Counter Electrode Vk     = 1
//      Counter Electrode Vk Std = 1
// T -- Counter Electrode Cur Ik = 1
// U -- Substrate Current        = 1
// V -- Optode                   = 1
// W -- Conductivity             = 1,  SBE37 MicroCat
// X -- OCR-504                  = 0
//--**************************************************


 SampNum	     MM/DD/YYYY HH:MM:SS	VbatMain	VbiasPos	VbiasNeg	 TC_cont	Humidity	    Vrse	Vrse_std	      Vk	  Vk_std	      Ik	      Ib	Opt_PN	Opt_SN	Moxy	O2satper	TC_opt	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Opt_rawtemp	TC_MCat	Cond	pSal	Pres	Date_MC	Time_MC
#0000021	06/22/2022 00:22:30	   10.56	    3.63	   -3.57	   22.91	      27	-0.926962	0.000008	-0.856755	0.000044	   -6.17	  -1.537	5730	1914	382.508	116.607	13.146	28.670	29.419	36.649	7.230	658.4	641.3	443.8	  18.4929	  3.98817	   -0.115	  29.5594	 22 Jun 2022	 00:22:29
#0000022	06/22/2022 00:23:00	   10.55	    3.63	   -3.58	   22.78	      27	-0.926248	0.000016	-0.856065	0.000051	   -6.67	  -1.513	5730	1914	386.244	116.826	12.796	28.706	29.455	36.680	7.225	659.7	642.5	455.1	  18.2422	  3.94435	   -0.115	  29.3765	 22 Jun 2022	 00:22:59
#0000023	06/22/2022 00:23:30	   10.56	    3.63	   -3.58	   22.91	      27	-0.926442	0.000006	-0.856305	0.000027	   -4.00	  -1.567	5730	1914	384.210	116.875	13.050	28.661	29.410	36.626	7.217	658.5	643.8	446.9	  17.9227	  3.99398	   -0.116	  30.0213	 22 Jun 2022	 00:23:29
#0000024	06/22/2022 00:24:00	   10.56	    3.63	   -3.57	   22.39	      27	-0.926377	0.000011	-0.856394	0.000054	   -7.93	  -1.599	5730	1914	379.915	116.393	13.369	28.654	29.403	36.615	7.213	658.7	645.2	436.6	  17.7829	  4.00326	   -0.116	  30.2022	 22 Jun 2022	 00:23:59
#0000025	06/22/2022 00:24:30	   10.56	    3.63	   -3.57	   21.88	      27	-0.926423	0.000008	-0.856295	0.000030	  -12.40	  -1.552	5730	1914	374.945	114.445	13.202	28.860	29.609	36.815	7.206	665.1	646.2	442.0	  17.6368	  3.98522	   -0.117	  30.1586	 22 Jun 2022	 00:24:29
#0000026	06/22/2022 00:25:00	   10.56	    3.63	   -3.57	   22.65	      27	-0.926176	0.000015	-0.856044	0.000036	  -14.83	  -1.591	5730	1914	373.537	114.176	13.266	28.874	29.623	36.827	7.203	665.8	647.3	440.0	  17.4105	  3.94772	   -0.117	  30.0095	 22 Jun 2022	 00:24:59
#0000027	06/22/2022 00:25:30	   10.56	    3.63	   -3.58	   22.65	      27	-0.926442	0.000011	-0.856515	0.000055	   -5.81	  -1.520	5730	1914	374.470	114.526	13.291	28.838	29.587	36.790	7.203	664.9	648.4	439.2	  17.2260	  3.99806	   -0.117	  30.5748	 22 Jun 2022	 00:25:29
#0000028	06/22/2022 00:26:00	   10.56	    3.63	   -3.58	   22.52	      27	-0.926552	0.000010	-0.856325	0.000038	   -5.14	  -1.606	5730	1914	373.364	113.350	12.961	29.001	29.750	36.949	7.200	670.3	649.3	449.8	  17.1680	  3.97885	   -0.117	  30.4550	 22 Jun 2022	 00:25:59
#0000029	06/22/2022 00:26:30	   10.56	    3.63	   -3.58	   22.39	      27	-0.927306	0.000012	-0.856487	0.000029	   -5.03	  -1.507	5730	1914	358.192	108.251	12.759	29.530	30.279	37.473	7.194	687.2	650.0	456.3	  17.1317	  3.94519	   -0.118	  30.1954	 22 Jun 2022	 00:26:29
#0000030	06/22/2022 00:27:00	   10.55	    3.63	   -3.58	   22.14	      27	-0.927206	0.000006	-0.856945	0.000047	   -6.20	  -1.606	5730	1914	361.273	110.315	13.220	29.250	29.999	37.193	7.194	678.5	651.1	441.5	  16.9149	  3.99891	   -0.117	  30.8188	 22 Jun 2022	 00:26:59
#0000031	06/22/2022 00:27:30	   10.59	    3.63	   -3.58	   22.52	      27	-0.926982	0.000005	-0.856840	0.000043	    0.44	  -1.601	5730	1914	364.350	111.069	13.145	29.189	29.938	37.124	7.186	676.8	652.0	443.9	  16.8058	  3.99784	   -0.118	  30.8934	 22 Jun 2022	 00:27:29
#0000032	06/22/2022 00:28:00	   10.58	    3.63	   -3.58	   22.39	      27	-0.926920	0.000005	-0.856880	0.000050	  -15.30	  -1.546	5730	1914	365.380	111.839	13.328	29.085	29.834	37.017	7.183	673.7	652.9	437.9	  16.7878	  4.01369	   -0.117	  31.0437	 22 Jun 2022	 00:27:59
#0000033	06/22/2022 00:28:30	   10.58	    3.63	   -3.58	   21.88	      27	-0.926353	0.000011	-0.856471	0.000055	   -8.51	  -1.637	5730	1914	371.786	113.804	13.330	28.899	29.648	36.825	7.177	667.8	653.7	437.9	  16.7394	  3.98637	   -0.117	  30.8456	 22 Jun 2022	 00:28:29
#0000034	06/22/2022 00:29:00	   10.56	    3.63	   -3.58	   22.14	      27	-0.926774	0.000009	-0.856431	0.000053	   -6.10	  -1.500	5730	1914	365.477	110.797	12.897	29.256	30.005	37.181	7.176	679.2	654.3	451.9	  16.5149	  3.96721	   -0.118	  30.8528	 22 Jun 2022	 00:28:59
#0000035	06/22/2022 00:29:30	   10.56	    3.63	   -3.58	   22.01	      27	-0.927392	0.000006	-0.856519	0.000049	  -15.40	  -1.533	5730	1914	355.957	107.447	12.706	29.619	30.368	37.540	7.172	691.1	655.0	458.0	  16.4511	  3.93978	   -0.118	  30.6642	 22 Jun 2022	 00:29:29
#0000036	06/22/2022 00:30:00	   10.53	    3.63	   -3.57	   21.88	      27	-0.927924	0.000011	-0.856788	0.000012	  -12.00	  -1.520	5730	1914	349.049	105.067	12.581	29.884	30.633	37.799	7.165	699.6	655.6	462.0	  16.3763	  3.93317	   -0.118	  30.6643	 22 Jun 2022	 00:29:59
#0000037	06/22/2022 00:30:30	   10.56	    3.63	   -3.57	   21.88	      27	-0.928305	0.000012	-0.856832	0.000021	   -1.35	  -1.508	5730	1914	345.481	103.675	12.446	30.054	30.803	37.963	7.161	704.8	656.3	466.4	  16.3622	  3.91793	   -0.118	  30.5428	 22 Jun 2022	 00:30:29
#0000038	06/22/2022 00:31:00	   10.56	    3.63	   -3.58	   21.75	      27	-0.929066	0.000010	-0.857282	0.000051	   -7.18	  -1.524	5730	1914	335.118	100.375	12.362	30.425	31.174	38.333	7.159	716.9	657.0	469.1	  16.2937	  3.91610	   -0.118	  30.5795	 22 Jun 2022	 00:30:59
#0000039	06/22/2022 00:31:30	   10.55	    3.63	   -3.57	   21.62	      27	-0.929928	0.000014	-0.857517	0.000038	   -7.21	  -1.519	5730	1914	325.865	97.277	12.214	30.800	31.549	38.703	7.154	729.0	657.7	473.8	  16.2301	  3.89123	   -0.118	  30.4119	 22 Jun 2022	 00:31:29
#0000040	06/22/2022 00:32:00	   10.56	    3.63	   -3.57	   21.62	      27	-0.930266	0.000010	-0.858012	0.000020	    8.09	  -1.506	5730	1914	321.529	96.128	12.281	30.922	31.671	38.821	7.150	732.9	658.4	471.7	  16.1822	  3.90527	   -0.118	  30.5707	 22 Jun 2022	 00:31:59
