

//++************** Deployment Settings ***************
// Firmware version: 	v4.1.4 MpHOx revB
// Sampling period (s)	600
// Samples hour align:	Yes
// Vrsi sps,trials: 	20, 10
// Vrse sps,trials: 	20, 10
// Vtherm sps,trials	20, 5
// Ik sps, trials:	20, 1
// Vk sps, trials:	20, 5
// Ib sps, trials:	20, 1
// Vb sps, trials:	20, 5
// Vbias sps,trials: 	40, 1
// Pump start delay: 	0
// Pump seq type:	PUMP_SINGLE
// Pump on time (s):	10
// Low battery voltage:	10.0
// Output mode:	Normal
// Deploy time:	2023/01/30 23:52:36
// Time zone: 	Local
// TCOffset:	0.000000
// k0int:	-0.400000
// k0ext:	-1.300000
// k2int:	-0.001455
// k2ext:	-0.001081
// Def Sal (ppt):	35.000000
// Offset Ik: 	0.000000
// Offset Ib: 	0.000000
// S-H c0	340.981986
// S-H c1	-0.000091
// S-H c2	-95.088067
// S-H c3	0.965370
// Version Info: 	v4.1.4 MpHOx revB
// File name:	01302023.txt
// User initials: 	JKW
// Board SN:	A001030
// MCAP SN: 	D000042
// DuraFET SN: 	DSD172
// Optode SN:	1911
// CTD SN:	NA
// Pump1 SN:	NA
// Pump2 SN:	NA
// Package name:	mpHOx001
// Fab Note:	2020 R30 installed, unipolar bias
// Deploy note:	FT for k0 alongside CANARY
// MicroSD Logging:	1
// Uart Echo:	1
// App Exec:	0
// A -- Sample Num= 1
// B -- MM/DD/YYYY HH:MM:SS= 1
// C -- Battery Volt = 1
// D -- Bias Battery Pos= 1
// E -- Bias Battery Neg= 0
// F -- Board Temperature= 1
// G -- Board Humidity= 1
// H -- Vthermistor= 1
//Vtermistor Std= 1
// I -- Temperature Calc= 1
// J -- Vrsi (Int Ref pH volt)= 0
//Vrsi Std= 0
// K -- pH Vrsi Calc = 0
// L -- Vrse (Ext Ref pH volt)= 1
//Vrse Std= 1
// M -- pH Vrse Calc = 1
// N -- Vrsi Biased (7pH=0v)= 0
// O -- Vrsi Biased Std = 0
// P -- Vrse Biased (7pH=0v)= 0
// Q -- Vrse Biased Std = 0
// R -- Counter Electrode Vk= 1
//Counter Electrode Vk Std = 1
// T -- Counter Electrode Cur Ik = 1
// U -- Substrate Current= 1
// V -- Optode = 1
// W -- Conductivity = 1,SBE37 MicroCat
// X -- OCR-504= 0
//--**************************************************


SampNum	Sample_Time	VbatMain	VbiasPos	 TC_cont	Humidity	Vtherm	VthrmStd	 TC_Dfet	 Vrse	Vrse_std	pHextEst	Vk	Vk_std	Ik	Ib	Opt_PN	Opt_SN	Moxy	O2satper	TC_opt	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Opt_rawtemp	TC_MCat	Cond	Pres	pSal	Date_MC	Time_MC
#0000024	01/31/2023 03:50:00	10.51	3.62	13.89	54	0.246992	0.000384	67.599	-0.938996	0.000005	3.534	-0.808504	0.000081	-5.62	-1.940	5730	1914	279.047	85.327	13.283	32.100	32.849	39.703	6.854	848.8	686.9	439.4	13.3145	3.91828	 0.275	33.0304	 31 Jan 2023	 03:52:25
#0000025	01/31/2023 04:00:00	10.51	3.62	14.14	55	0.262739	0.000382	65.698	-0.939331	0.000007	3.535	-0.808509	0.000061	-13.87	-1.896	5730	1914	278.035	84.863	13.201	32.177	32.926	39.771	6.844	851.5	687.0	442.1	13.2144	3.91119	 0.275	33.0506	 31 Jan 2023	 04:02:25
#0000026	01/31/2023 04:10:00	10.53	3.62	13.89	55	0.263234	0.000383	65.640	-0.939628	0.000005	3.532	-0.808497	0.000044	-10.53	-1.896	5730	1914	275.108	83.852	13.138	32.326	33.075	39.919	6.844	856.6	687.3	444.1	13.1512	3.90620	 0.276	33.0586	 31 Jan 2023	 04:12:25
#0000027	01/31/2023 04:20:00	10.51	3.62	13.63	54	0.236535	0.000387	68.933	-0.940002	0.000007	3.518	-0.808697	0.000041	-8.02	-1.920	5730	1914	273.173	83.230	13.121	32.415	33.164	39.998	6.834	859.7	687.7	444.6	13.1445	3.90555	 0.277	33.0583	 31 Jan 2023	 04:22:25
#0000028	01/31/2023 04:30:00	10.51	3.62	13.63	54	0.262581	0.000383	65.717	-0.940276	0.000011	3.526	-0.808750	0.000051	-6.84	-1.877	5730	1914	273.188	83.214	13.110	32.419	33.168	40.003	6.835	860.1	688.1	445.0	13.1400	3.90514	 0.279	33.0584	 31 Jan 2023	 04:32:25
#0000029	01/31/2023 04:40:00	10.51	3.62	13.50	54	0.257273	0.000382	66.344	-0.940587	0.000006	3.521	-0.808833	0.000034	-12.97	-1.904	5730	1914	273.200	83.207	13.104	32.421	33.170	39.999	6.829	860.3	688.3	445.2	13.1393	3.90510	 0.280	33.0587	 31 Jan 2023	 04:42:25
#0000030	01/31/2023 04:50:00	10.51	3.62	13.63	54	0.250601	0.000384	67.152	-0.940803	0.000008	3.517	-0.808826	0.000045	-12.58	-1.796	5730	1914	273.594	83.320	13.101	32.406	33.155	39.977	6.822	859.5	688.4	445.3	13.1386	3.90506	 0.281	33.0589	 31 Jan 2023	 04:52:25
#0000031	01/31/2023 05:00:00	10.51	3.62	13.63	54	0.253492	0.000384	66.799	-0.941070	0.000008	3.514	-0.808809	0.000044	-7.81	-1.855	5730	1914	273.991	83.428	13.094	32.392	33.141	39.960	6.818	859.0	688.5	445.5	13.1316	3.90445	 0.281	33.0592	 31 Jan 2023	 05:02:25
#0000032	01/31/2023 05:10:00	10.49	3.62	13.37	54	0.268576	0.000380	65.024	-0.941251	0.000014	3.518	-0.808814	0.000057	-12.06	-1.841	5730	1914	274.788	83.656	13.086	32.362	33.111	39.923	6.812	858.0	688.6	445.8	13.1239	3.90377	 0.282	33.0595	 31 Jan 2023	 05:12:25
#0000033	01/31/2023 05:20:00	10.55	3.62	13.89	55	0.253519	0.000384	66.796	-0.941458	0.000007	3.511	-0.808793	0.000046	-11.65	-1.859	5730	1914	275.531	83.859	13.074	32.336	33.085	39.893	6.807	857.2	688.7	446.2	13.1117	3.90262	 0.283	33.0593	 31 Jan 2023	 05:22:25
